trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-142.080642939111,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-144.6884014211984,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-98.13814730564846,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-107.28494245508674,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-95.53405676221075,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-99.60136742118677,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-134.12849498077588,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-115.55645895734162,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-166.8121260958427,"{0: 9, 1: 4, 2: 2, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",35,2,-203.04039961329175,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",30,0,-191.5048578157225,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-159.3999843744099,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-160.63828314432087,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-40.953137369190145,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-127.09950438405023,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-118.11439209214657,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-26.953404196952956,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,0,-48.68094209810278,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-65.54631504520685,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",30,0,-154.0222559565346,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",30,0,-202.01054088047533,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",20,0,-130.3875282283411,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",20,0,-171.7657377551517,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,0,-130.96733289609398,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",20,0,-26.276002781197704,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-79.25076735200005,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,5,-21.226810654120605,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036326}",30,9,-119.76481144279073,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 3}",1
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-55.41707662522131,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-165.6548525867352,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",20,0,-38.42744056367037,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",25,0,-88.16736966657089,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",30,19,18.678732891372558,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,16,8.131323673367108,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,3,-60.183385110131,"{0: 10, 1: 5, 2: 1, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,0,-118.23411227937532,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",25,0,-177.9683540782241,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",25,0,-145.3524502605763,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",1
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",25,0,-105.73715717994564,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,1,-33.21238281868343,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,0,-125.85102331704677,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,0,8.74360606417346,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,0,-134.44496250028465,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
