trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-24.874593839087403,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,1,-99.57000787851895,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.60007694326626,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-92.07019919645154,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-120.89520422706151,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.018202483833946,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.99566456243463,"{0: 7, 1: 6, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-78.14840819115147,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,15,-78.15407743977615,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-176.6924433234795,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-229.44739527505982,"{0: 12, 1: 7, 2: 7, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,10,-7.588981637838253,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.21764998716577,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.11926212831304,"{0: 15, 1: 6, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.67428151481423,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.47265329071652,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-202.83130245423052,"{0: 15, 1: 9, 2: 1, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-166.9101732382335,"{0: 21, 1: 3, 2: 8, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.11459308530766,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-193.60811701093192,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-38.63382888494397,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-192.12992949359605,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-101.45650463646163,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.06657372214077,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-232.1088732870787,"{0: 13, 1: 3, 2: 3, 3: 2, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-220.21074780819828,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.87431155029695,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.1650111608574,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-189.4963507674958,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,3,-181.41259322144398,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 4}",1
